n,time1,time2,time3,time4,time5,time6,inplace,extramemory
650,0.959793,0.569411,0.983195,0.890597,0.898694,0.585776,0.000811,0.000874
650,0.958646,0.569643,0.979449,0.895672,0.895462,0.586484,0.000827,0.000893
655,0.981184,0.582402,1.002722,0.913919,0.915657,0.605549,0.00089,0.00091
655,0.987429,0.584139,1.002385,0.91266,0.908194,0.596941,0.000848,0.000905
660,1.005265,0.596024,1.02875,0.932106,0.934127,0.612288,0.000856,0.000955
660,1.002109,0.596498,1.038247,0.932396,0.930065,0.612422,0.000859,0.000903
665,1.029744,0.611723,1.058308,0.958117,0.954426,0.630427,0.000862,0.000932
665,1.027264,0.610464,1.055988,0.979864,0.958376,0.639411,0.000896,0.000937
670,1.076009,0.635831,1.101453,1.0007,0.988587,0.650108,0.00081,0.000967
670,1.049903,0.624591,1.077047,0.9776,0.976189,0.64014,0.000863,0.000921
675,1.07522,0.638492,1.096985,1.001943,1.005016,0.65597,0.000894,0.000953
675,1.075214,0.637228,1.09395,1.001285,1.000523,0.657413,0.000902,0.000967
680,1.097432,0.651915,1.116852,1.027696,1.024258,0.671823,0.000807,0.000968
680,1.099143,0.655772,1.125696,1.020831,1.018032,0.670628,0.000904,0.000985
685,1.129988,0.669682,1.148681,1.048448,1.047982,0.687787,0.00089,0.000974
685,1.120915,0.66931,1.152027,1.047238,1.043596,0.686785,0.000802,0.00099
690,1.146447,0.683632,1.169752,1.070877,1.070733,0.702212,0.00094,0.001004
690,1.146645,0.682444,1.171395,1.070363,1.071256,0.700381,0.000998,0.001081
695,1.169365,0.696388,1.191636,1.094331,1.092201,0.71513,0.000937,0.001015
695,1.175129,0.697039,1.20634,1.093308,1.087992,0.712935,0.000927,0.001005
700,1.196546,0.714415,1.217879,1.118563,1.114285,0.733852,0.000963,0.001039
700,1.196706,0.71257,1.221956,1.11629,1.118766,0.733329,0.000985,0.001041
705,1.230953,0.727743,1.254171,1.150329,1.1415,0.749932,0.001019,0.001082
705,1.233731,0.726053,1.262113,1.139536,1.145679,0.75048,0.001002,0.001052
710,1.253281,0.742015,1.282236,1.166991,1.18056,0.762667,0.001024,0.001075
710,1.25521,0.741274,1.281149,1.166147,1.175858,0.763295,0.001022,0.001074
715,1.28044,0.758881,1.317218,1.201698,1.199918,0.782645,0.001063,0.001154
715,1.282183,0.760105,1.30645,1.192822,1.198662,0.783952,0.001037,0.001078
720,1.309579,0.776259,1.336115,1.222381,1.221018,0.799784,0.001027,0.001102
720,1.309925,0.777845,1.339422,1.217412,1.221474,0.79533,0.00105,0.001093
725,1.33751,0.792828,1.360711,1.247262,1.244362,0.816759,0.001076,0.00114
725,1.340025,0.791301,1.366362,1.244179,1.24267,0.813715,0.001046,0.001107
730,1.363994,0.80933,1.399303,1.265585,1.266894,0.833878,0.001062,0.001125
730,1.363103,0.807597,1.385757,1.269669,1.269355,0.830273,0.001064,0.001139
735,1.396553,0.827139,1.43006,1.295213,1.296363,0.846906,0.000951,0.001111
735,1.405446,0.825883,1.445346,1.300613,1.297692,0.847316,0.001074,0.001192
740,1.423014,0.844298,1.458446,1.327984,1.318824,0.86574,0.001091,0.001178
740,1.423336,0.842929,1.473689,1.323501,1.324615,0.867214,0.00115,0.001318
745,1.451323,0.858776,1.48929,1.355036,1.35006,0.887364,0.001087,0.001166
745,1.467514,0.866053,1.486963,1.35852,1.355858,0.886305,0.00114,0.001188
750,1.479679,0.880762,1.528923,1.384257,1.376897,0.901137,0.001099,0.001207
750,1.478792,0.878481,1.522917,1.379944,1.398417,0.906089,0.001151,0.001206
